,Paper         ,DOI,TC,TCperYear,NTC,Enfoque,,Modo,Disrupcion,Carga/Pasajeros,Fase
1,"MATTSSON LG, 2015, TRANSP RES PT A-POLICY PRACT                                                         ",10.1016/j.tra.2015.06.002       ,242,34.57,8.088,Revision,,Multiple,,Multiple,Multiple
2,"CHEN L, 2012, TRANSP SCI                                                                                ",10.1287/trsc.1110.0376          ,156,15.6,5.806,Topologico,Simulación,Multiple,,Carga,Post
3,"COX A, 2011, TRANSP POLICY                                                                              ",10.1016/j.tranpol.2010.09.004   ,142,12.91,4.415,Sistema,Deterministico,Multiple,Terrorismo,Pasajeros,Post
4,"REGGIANI A, 2015, TRANSP RES PT A-POLICY PRACT                                                          ",10.1016/j.tra.2014.12.012       ,126,18,4.211,Revision,,,,,
5,"TORABI SA, 2015, TRANSP RES PT E-LOGIST TRANSP REV                                                      ",10.1016/j.tre.2015.03.005       ,126,18,4.211,,,,,,
6,"VAN WEE B, 2016, J TRANSP GEOGR                                                                         ",10.1016/j.jtrangeo.2015.10.018  ,122,20.33,7.475,,,,,,
7,"HOSSEINI S, 2019, TRANSP RES PT E-LOGIST TRANSP REV                                                     ",10.1016/j.tre.2019.03.001       ,102,34,18.611,,,,,,
8,"ZHANG X, 2015, J TRANSP GEOGR                                                                           ",10.1016/j.jtrangeo.2015.05.006  ,94,13.43,3.142,,,,,,
9,"JIN JG, 2014, TRANSP RES PT E-LOGIST TRANSP REV                                                         ",10.1016/j.tre.2014.01.002       ,94,11.75,2.843,,,,,,
10,"VELAGA NR, 2012, J TRANSP GEOGR                                                                         ",10.1016/j.jtrangeo.2011.12.005  ,94,9.4,3.499,,,,,,
11,"REGGIANI A, 2013, TRANSP POLICY                                                                         ",10.1016/j.tranpol.2012.09.007   ,88,9.78,4.667,,,,,,
12,"HASANI A, 2016, TRANSP RES PT E-LOGIST TRANSP REV                                                       ",10.1016/j.tre.2015.12.009       ,87,14.5,5.33,,,,,,
13,"FATURECHI R, 2014, TRANSP RES PT B-METHODOL                                                             ",10.1016/j.trb.2014.08.007       ,84,10.5,2.541,,,,,,
14,"FAHIMNIA B, 2016, TRANSP RES PT E-LOGIST TRANSP REV                                                     ",10.1016/j.tre.2016.02.007       ,83,13.83,5.085,,,,,,
15,"PREGNOLATO M, 2017, TRANSPORT RES PART D-TRANSPORT ENVIRON                                              ",10.1016/j.trd.2017.06.020       ,77,15.4,8.516,,,,,,
16,"LORDAN O, 2014, TRANSP RES PT E-LOGIST TRANSP REV                                                       ",10.1016/j.tre.2014.05.011       ,74,9.25,2.238,,,,,,
17,"IVANOV D, 2016, TRANSP RES PT E-LOGIST TRANSP REV                                                       ",10.1016/j.tre.2015.12.007       ,63,10.5,3.86,,,,,,
18,"SUN DJ, 2016, TRANSP RES PT A-POLICY PRACT                                                              ",10.1016/j.tra.2016.09.024       ,62,10.33,3.799,,,,,,
19,"LORDAN O, 2014, J TRANSP GEOGR                                                                          ",10.1016/j.jtrangeo.2014.04.015  ,58,7.25,1.754,,,,,,
20,"BAROUD H, 2014, TRANSP RES PT E-LOGIST TRANSP REV                                                       ",10.1016/j.tre.2013.11.010       ,56,7,1.694,,,,,,
21,"WAN C, 2018, TRANSP REV                                                                                 ",10.1080/01441647.2017.1383532   ,53,13.25,6.155,,,,,,
22,"D'LIMA M, 2015, TRANSP RES PT A-POLICY PRACT                                                            ",10.1016/j.tra.2015.05.017       ,53,7.57,1.771,,,,,,
23,"EL-RASHIDY RA, 2014, J TRANSP GEOGR                                                                     ",10.1016/j.jtrangeo.2013.10.017  ,53,6.62,1.603,,,,,,
24,"SADGHIANI NS, 2015, TRANSP RES PT E-LOGIST TRANSP REV                                                   ",10.1016/j.tre.2014.12.015       ,52,7.43,1.738,,,,,,
25,"LAM JSL, 2016, TRANSP RES PT E-LOGIST TRANSP REV                                                        ",10.1016/j.tre.2016.01.012       ,51,8.5,3.125,,,,,,
26,"ELLEGARD K, 2012, J TRANSP GEOGR                                                                        ",10.1016/j.jtrangeo.2012.03.023  ,49,4.9,1.824,,,,,,
27,"DEMIREL H, 2015, TRANSP RES PART A POLICY PRACT                                                         ",10.1016/j.tra.2015.05.002       ,45,6.43,1.504,,,,,,
28,"COOK A, 2015, J AIR TRANSP MANAG                                                                        ",10.1016/j.jairtraman.2014.09.011,43,6.14,1.437,,,,,,
29,"NAIR R, 2010, TRANSP RES RECORD                                                                         ",10.3141/2166-07                 ,43,3.58,2.115,,,,,,
30,"NG KKH, 2017, TRANSP RES PT E-LOGIST TRANSP REV                                                         ",10.1016/j.tre.2017.08.006       ,37,7.4,4.092,,,,,,
31,"LYONS G, 2016, TRANSP RES PT A-POLICY PRACT                                                             ",10.1016/j.tra.2016.03.012       ,37,6.17,2.267,,,,,,
32,"SHEU JB, 2014, TRANSP RES PT B-METHODOL                                                                 ",10.1016/j.trb.2014.06.016       ,37,4.62,1.119,,,,,,
33,"XIE Y, 2017, J INTELL TRANSPORT SYST                                                                    ",10.1080/15472450.2016.1248288   ,35,7,3.871,,,,,,
34,"WANG DZW, 2016, TRANSPORTMETRICA A                                                                      ",10.1080/23249935.2015.1137373   ,35,5.83,2.144,,,,,,
35,"CATS O, 2016, TRANSP RES PT A-POLICY PRACT                                                              ",10.1016/j.tra.2016.03.015       ,33,5.5,2.022,,,,,,
36,"JENELIUS E, 2015, TRANSPORTMETRICA A                                                                    ",10.1080/23249935.2015.1087232   ,33,4.71,1.103,,,,,,
37,"TAYLOR MAP, 2017, VULNERABILITY ANAL FOR TRANSP NETW                                                    ",NA                              ,33,6.6,3.65,,,,,,
38,"BELL MGH, 2017, TRANSP RES PT B-METHODOL                                                                ",10.1016/j.trb.2017.03.002       ,32,6.4,3.539,,,,,,
39,"JANIC M, 2015, TRANSP RES PT A-POLICY PRACT-a                                                           ",10.1016/j.tra.2014.10.023       ,32,4.57,1.069,,,,,,
40,"TAMVAKIS P, 2012, TRANSPORT RESEARCH ARENA 2012                                                         ",10.1016/j.sbspro.2012.06.1308   ,32,3.2,1.191,,,,,,
41,"SCHWANEN T, 2017, PROG HUM GEOGR                                                                        ",10.1177/0309132516628259        ,32,6.4,3.539,,,,,,
42,"LIU CL, 2018, TRANSP RES PT A-POLICY PRACT                                                              ",10.1016/j.tra.2017.02.004       ,31,7.75,3.6,,,,,,
43,"SHARIFI A, 2019, BUILD ENVIRON                                                                          ",10.1016/j.buildenv.2018.09.040  ,31,10.33,5.656,,,,,,
44,"PANT R, 2018, J FLOOD RISK MANAGE                                                                       ",10.1111/jfr3.12288              ,30,7.5,3.484,,,,,,
45,"DUNN S, 2016, TRANSP RES PT E-LOGIST TRANSP REV                                                         ",10.1016/j.tre.2015.09.011       ,28,4.67,1.715,,,,,,
46,"SINGH P, 2018, INT J DISASTER RISK REDUCT                                                               ",10.1016/j.ijdrr.2018.03.017     ,28,7,3.252,,,,,,
47,"DAWSON D, 2016, J TRANSP GEOGR                                                                          ",10.1016/j.jtrangeo.2015.11.009  ,27,4.5,1.654,,,,,,
48,"SOLTANI-SOBH A, 2015, INT J DISASTER RISK REDUCT                                                        ",10.1016/j.ijdrr.2015.10.005     ,27,3.86,0.902,,,,,,
49,"MARKOLF SA, 2019, TRANSP POLICY                                                                         ",10.1016/j.tranpol.2018.11.003   ,25,8.33,4.562,,,,,,
50,"LU QC, 2018, TRANSP RES PT A-POLICY PRACT                                                               ",10.1016/j.tra.2018.08.015       ,25,6.25,2.903,,,,,,
51,"ZHALECHIAN M, 2018, TRANSP RES PT E-LOGIST TRANSP REV                                                   ",10.1016/j.tre.2017.11.001       ,25,6.25,2.903,,,,,,
52,"WANDELT S, 2015, TRANSPORTMETRICA A                                                                     ",10.1080/23249935.2015.1089953   ,25,3.57,0.836,,,,,,
